Date,Open,High,Low,Close,Adj Close,Volume
2021-02-02,178.259995,178.425003,163.020004,167.160004,167.160004,5385600
2021-02-03,165.100006,170.880005,164.000000,168.289993,168.289993,3039200
2021-02-04,170.660004,173.490005,165.324997,169.250000,169.250000,3282600
2021-02-05,168.740005,170.983002,165.807007,168.919998,168.919998,1774900
2021-02-08,170.139999,171.850006,166.339996,169.089996,169.089996,2024700
2021-02-09,169.419998,173.300003,165.839996,166.660004,166.660004,2254300
2021-02-10,167.020004,175.800003,167.020004,171.529999,171.529999,2937400
2021-02-11,172.679993,176.699997,166.399994,175.660004,175.660004,3473800
2021-02-12,175.179993,181.800003,171.610001,175.449997,175.449997,3135800
2021-02-16,182.000000,183.750000,172.880005,173.039993,173.039993,3117700
2021-02-17,173.720001,174.369995,165.500000,167.869995,167.869995,2355000
2021-02-18,165.210007,168.330002,161.343002,167.089996,167.089996,2284300
2021-02-19,169.759995,169.759995,160.000000,160.220001,160.220001,2329700
2021-02-22,160.350006,160.860001,150.380005,150.860001,150.860001,3095200
2021-02-23,147.660004,150.539993,138.953995,149.419998,149.419998,3588800
2021-02-24,150.750000,152.729996,147.199997,152.050003,152.050003,1767600
2021-02-25,152.009995,153.949997,142.339996,143.750000,143.750000,4762800
2021-02-26,156.000000,162.779999,141.720001,145.479996,145.479996,6909900
2021-03-01,150.000000,154.539993,145.490005,147.104996,147.104996,3690100
2021-03-02,152.490005,155.000000,139.470001,139.660004,139.660004,6003100
2021-03-03,137.744995,140.220001,135.330002,139.485001,139.485001,4953700
2021-03-04,138.419998,140.500000,130.119995,136.419998,136.419998,4316200
2021-03-05,136.419998,138.863007,125.871002,138.300003,138.300003,4460400
2021-03-08,137.559998,142.789993,135.039993,135.300003,135.300003,2766900
2021-03-09,140.610001,142.600006,137.386993,139.580002,139.580002,3800900
2021-03-10,143.169998,143.309998,137.080002,138.610001,138.610001,2193500
2021-03-11,141.110001,144.550003,139.070007,142.809998,142.809998,2912800
2021-03-12,140.449997,143.210007,138.360001,142.449997,142.449997,1924800
2021-03-15,143.580002,150.660004,143.423996,148.110001,148.110001,3152500
2021-03-16,148.009995,148.320007,137.009995,139.169998,139.169998,4002700
2021-03-17,139.000000,140.020004,135.440002,139.190002,139.190002,3241600
2021-03-18,138.000000,138.149994,132.901993,133.720001,133.720001,3062400
2021-03-19,135.589996,140.389999,134.820007,139.389999,139.389999,3253100
2021-03-22,140.339996,141.779999,138.059998,139.600006,139.600006,1800000
2021-03-23,139.990005,139.990005,135.389999,137.100006,137.100006,1908600
2021-03-24,136.000000,136.770004,129.647995,130.210007,130.210007,2875700
2021-03-25,128.869995,131.796005,127.239998,129.729996,129.729996,2589500
2021-03-26,130.509995,132.190002,126.900002,129.710007,129.710007,2012500
2021-03-29,129.699997,131.080002,125.440002,126.660004,126.660004,2270400
2021-03-30,126.500000,127.519997,123.500000,126.120003,126.120003,2453900
2021-03-31,127.290001,131.899994,125.820000,130.119995,130.119995,2775400
2021-04-01,132.009995,135.320007,130.750000,131.380005,131.380005,1566800
2021-04-05,132.240005,133.139999,129.610001,131.589996,131.589996,1471500
2021-04-06,131.509995,136.520004,131.110001,133.949997,133.949997,3619000
2021-04-07,137.509995,140.699997,129.910004,130.289993,130.289993,4769600
2021-04-08,132.809998,135.899994,131.779999,134.869995,134.869995,2303200
2021-04-09,134.289993,134.600006,129.910004,130.369995,130.369995,2023000
2021-04-12,130.990005,133.059998,127.400002,132.259995,132.259995,1921400
2021-04-13,131.669998,135.979996,131.669998,135.830002,135.830002,2238800
2021-04-14,136.350006,138.169998,134.035995,135.179993,135.179993,2297700
2021-04-15,136.639999,137.789993,135.020004,137.149994,137.149994,2308800
2021-04-16,137.869995,140.580002,135.500000,137.309998,137.309998,2420500
2021-04-19,136.785004,137.789993,133.789993,135.250000,135.250000,1375800
2021-04-20,135.250000,135.580002,129.050003,131.479996,131.479996,1860000
2021-04-21,131.449005,134.089996,129.940002,133.949997,133.949997,1263000
2021-04-22,133.729996,136.619995,132.160004,132.830002,132.830002,1558400
2021-04-23,133.039993,134.880005,130.899994,131.419998,131.419998,1812700
2021-04-26,132.119995,132.899994,129.509995,132.059998,132.059998,1962000
2021-04-27,131.843994,134.199997,131.550003,133.500000,133.500000,2208900
2021-04-28,133.970001,135.800003,132.669998,134.220001,134.220001,1446100
2021-04-29,135.580002,137.389999,131.610001,133.399994,133.399994,2514200
2021-04-30,131.880005,134.498001,131.619995,131.679993,131.679993,1434000
2021-05-03,130.520004,131.320007,125.010002,126.400002,126.400002,3248800
2021-05-04,125.279999,125.699997,119.660004,124.800003,124.800003,3704400
2021-05-05,125.510002,125.739998,120.199997,121.570000,121.570000,2474500
2021-05-06,120.029999,120.464996,115.459999,119.040001,119.040001,4849500
2021-05-07,107.730003,116.879997,106.910004,110.724998,110.724998,9331900
2021-05-10,110.279999,110.419998,103.160004,107.209999,107.209999,6432500
2021-05-11,100.889999,110.699997,100.819000,109.639999,109.639999,4696800
2021-05-12,109.379997,111.000000,103.879997,104.989998,104.989998,3693800
2021-05-13,105.000000,106.949997,99.860001,101.519997,101.519997,3325400
2021-05-14,102.930000,106.251999,101.910004,104.970001,104.970001,3419700
2021-05-17,105.709999,106.000000,100.419998,102.510002,102.510002,3898600
2021-05-18,103.300003,106.199997,101.900002,104.449997,104.449997,2793800
2021-05-19,103.250000,104.440002,102.000000,103.800003,103.800003,1809900
2021-05-20,104.180000,108.879997,103.809998,107.529999,107.529999,2633600
2021-05-21,108.599998,109.360001,106.462997,106.589996,106.589996,1550100
2021-05-24,113.720001,120.239998,113.000000,117.250000,117.250000,8784979
